2021-10-27 07:05:01.1711||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-27 07:05:06.6838|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-27 07:05:08.0046||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-27 07:05:08.0046||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-27 07:05:08.0208||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-27 07:19:56.3652||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-27 07:19:59.2224|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-27 07:20:00.3485||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-27 07:20:00.3552||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-27 07:20:00.3692||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
