2021-10-31 16:10:12.0552||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 16:10:18.7424|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 16:10:20.7285||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 16:10:20.7448||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 16:10:20.7448||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 16:13:13.5637||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 16:13:17.0720|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 16:13:18.3952||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 16:13:18.4077||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 16:13:18.4159||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 17:35:54.3207||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 17:35:58.7531|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 17:36:00.1829||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 17:36:00.1993||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 17:36:00.1993||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 17:52:38.1455||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 17:52:41.6308|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 17:52:42.7407||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 17:52:42.7483||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 17:52:42.7483||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 18:50:57.8724||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 18:51:03.3654|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 18:51:05.1971||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 18:51:05.1971||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 18:51:05.1971||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 19:13:26.8467||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 19:13:32.1226|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 19:13:33.4310||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 19:13:33.4319||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 19:13:33.4319||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 19:15:25.6720||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 19:15:29.3569|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 19:15:31.0626||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 19:15:31.0626||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 19:15:31.0815||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-31 19:25:55.0239||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-31 19:25:58.2950|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-31 19:25:59.4614||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-31 19:25:59.4614||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-31 19:25:59.4706||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
