2021-11-05 08:04:26.9810||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-05 08:04:30.8097|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-05 08:04:32.2398||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-05 08:04:32.2398||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-05 08:04:32.2398||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-05 22:28:45.5652||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-05 22:28:48.7249|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-05 22:28:56.9205||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-05 22:28:56.9254||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-05 22:28:56.9254||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-05 22:40:39.6829||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-05 22:40:41.8760|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-05 22:40:43.4527||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-05 22:40:43.4568||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-05 22:40:43.4568||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
