2021-10-18 17:20:26.0864||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-18 17:20:30.4728|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-18 17:20:32.2414||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-18 17:20:32.2414||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-18 17:20:32.2447||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-18 17:43:36.2056||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-18 17:43:39.6208|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-18 17:43:41.0788||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-18 17:43:41.0788||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-18 17:43:41.0788||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-18 17:55:24.2355||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-18 17:59:03.9128||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-18 17:59:07.4974|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-18 17:59:09.6098||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-18 17:59:09.6098||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-18 17:59:09.6203||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-18 17:59:28.1111|12|INFO|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|AuthenticationScheme: Bearer was challenged. |url: https://localhost/api/v1/farms|action: GetFarms
2021-10-18 18:01:04.8524||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-18 18:01:08.9159|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-18 18:01:10.5338||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-18 18:01:10.5338||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-18 18:01:10.5535||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-18 18:01:19.9583|12|INFO|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|AuthenticationScheme: Bearer was challenged. |url: https://localhost/api/v1/farms|action: GetFarms
2021-10-18 18:02:06.9946|7|INFO|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|Bearer was not authenticated. Failure message: IDX10500: Signature validation failed. No security keys were provided to validate the signature. |url: https://localhost/api/v1/farms|action: GetFarms
2021-10-18 18:02:07.0134|12|INFO|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|AuthenticationScheme: Bearer was challenged. |url: https://localhost/api/v1/farms|action: GetFarms
2021-10-18 18:02:10.3252|7|INFO|IdentityServer4.AccessTokenValidation.IdentityServerAuthenticationHandler|Bearer was not authenticated. Failure message: IDX10500: Signature validation failed. No security keys were provided to validate the signature. |url: https://localhost/api/v1/farms|action: GetFarms
