2021-10-22 07:36:48.2318||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-22 08:12:01.5265||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-22 08:12:04.5894|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-22 08:12:05.8752||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-22 08:12:05.8795||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-22 08:12:05.8795||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-22 08:12:35.6734||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-22 08:12:37.6444|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-22 08:12:38.8246||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-22 08:12:38.8335||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-22 08:12:38.8335||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-22 08:13:19.1650||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-22 08:13:21.5831|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-22 08:13:22.5235||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-22 08:13:22.5235||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-22 08:13:22.5235||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
