2021-10-06 19:47:56.2459||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 19:47:56.2459||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 19:47:56.2560||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 19:55:44.4164||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 19:55:46.4299|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 19:55:46.9861||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 19:55:46.9900||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 19:55:46.9900||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 19:56:33.2371||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 19:56:35.4564|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 19:56:35.9814||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 19:56:35.9814||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 19:56:35.9933||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 19:57:09.0499||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 19:57:11.2834|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 19:57:11.8255||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 19:57:11.8255||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
