2021-10-20 08:17:13.9560||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 08:17:21.9882|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 08:17:41.1920||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 08:17:41.2136||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 08:17:41.2136||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 08:18:42.0087||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 08:18:45.7513|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 08:18:46.8723||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 08:18:46.8835||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 08:18:46.8835||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 08:21:31.8323||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 08:21:36.7816|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 08:21:37.9433||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 08:21:37.9539||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 08:21:37.9625||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 08:28:59.7225||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 08:29:03.2743|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 08:29:04.3265||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 08:29:04.3265||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 08:29:04.3265||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 08:30:56.4880||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 08:31:00.0615|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 08:31:01.0647||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 08:31:01.0647||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 08:31:01.0721||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 08:45:32.0573||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 08:45:37.6772|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 08:45:39.2558||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 08:45:39.2855||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 08:45:39.2996||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 11:30:50.8341||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 11:30:55.1092|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 11:30:56.0078||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 11:30:56.0078||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 11:30:56.0312||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 11:39:16.8043|20504|WARN|Microsoft.EntityFrameworkCore.Query|Compiling a query which loads related collections for more than one collection navigation either via 'Include' or through projection but no 'QuerySplittingBehavior' has been configured. By default Entity Framework will use 'QuerySplittingBehavior.SingleQuery' which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))' |url: https://localhost/api/v1/customers|action: GetCustomers
2021-10-20 11:45:50.2426||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 11:45:53.8516|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 11:45:54.8368||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 11:45:54.8368||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 11:45:54.8563||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 11:57:08.2832||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 11:57:11.6497|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 11:57:12.4720||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 11:57:12.4720||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 11:57:12.4888||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
2021-10-20 12:03:32.3703||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-20 12:03:38.9192|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-20 12:03:40.9950||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-20 12:03:40.9950||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-20 12:03:40.9950||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-update-database\VuonDau.WebApi |url: |action: 
