2021-10-11 00:40:31.1392||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 00:40:34.7935|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 00:40:36.2141||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 00:40:36.2141||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 00:40:36.2338||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 01:07:17.7007||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 01:07:20.3598|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 01:07:21.4258||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 01:07:21.4327||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 01:07:21.4452||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 01:09:14.0685||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 01:09:16.2349|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 01:09:17.2708||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 01:09:17.2708||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 01:09:17.2708||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 01:11:54.5547||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 01:11:56.5872|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 01:11:57.7603||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 01:11:57.7603||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 01:11:57.7760||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 01:50:28.8684||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 01:51:06.5878||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 01:51:09.0943|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 01:51:10.1718||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 01:51:10.1718||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 01:51:10.1764||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 02:01:13.0668||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 02:01:15.2247|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 02:01:16.2199||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 02:01:16.2284||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 02:01:16.2284||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 07:22:00.8325||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 07:22:19.9017||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-11 07:22:22.9024|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-11 07:22:24.2164||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-11 07:22:24.2232||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-11 07:22:24.2232||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-11 08:21:26.4817||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
