2021-10-23 15:51:42.4003||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-23 15:52:18.4074||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-23 15:52:21.0704|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-23 15:52:22.2530||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-23 15:52:22.2587||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-23 15:52:22.2749||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-23 16:55:29.8801||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-23 16:55:33.3606|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-23 16:55:34.9362||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-23 16:55:34.9362||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-23 16:55:34.9504||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-23 17:00:13.5696||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-23 17:00:15.6586|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-23 17:00:16.6564||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-23 17:00:16.6662||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-23 17:00:16.6662||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-23 17:00:54.1366||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-23 17:00:56.1903|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-23 17:00:57.1680||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-23 17:00:57.1680||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-23 17:00:57.1769||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
