2021-10-27 00:43:21.1614||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-27 00:43:24.9476|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-27 00:43:26.1604||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-27 00:43:26.1652||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-27 00:43:26.1652||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-27 07:42:51.8857||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-27 07:42:54.5350|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-27 07:42:55.7621||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-27 07:42:55.7621||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-27 07:42:55.7854||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-27 07:44:58.1202||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-27 07:45:00.2340|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-27 07:45:01.1873||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-27 07:45:01.1873||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-27 07:45:01.1873||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
