2021-10-24 15:43:09.6401||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-24 15:43:13.2696|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-24 15:43:14.5103||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-24 15:43:14.5103||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-24 15:43:14.5224||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-24 15:44:54.7194||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-24 15:44:56.8528|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-24 15:44:57.7000||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-24 15:44:57.7000||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-24 15:44:57.7103||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-24 15:46:20.1583||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-24 15:46:22.5642|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-24 15:46:23.7332||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-24 15:46:23.7419||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-24 15:46:23.7419||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-24 15:52:34.7291||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-24 15:52:37.7008|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-24 15:52:38.5680||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-24 15:52:38.5680||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-24 15:52:38.5680||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-24 15:58:30.4777||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-24 15:58:32.9224|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-24 15:58:34.1231||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-24 15:58:34.1320||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-24 15:58:34.1320||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
