2021-11-06 10:47:09.2194||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-06 10:47:12.5521|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-06 10:47:13.6735||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-06 10:47:13.6735||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-06 10:47:13.6735||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-06 11:24:20.4927||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-06 11:24:23.4026|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-06 11:24:24.4957||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-06 11:24:24.4957||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-06 11:24:24.5122||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-06 11:26:33.0802||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-06 11:26:35.3262|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-06 11:26:36.2753||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-06 11:26:36.2753||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-06 11:26:36.2838||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-06 11:30:07.8102||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-06 11:30:10.1022|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-06 11:30:11.1342||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-06 11:30:11.1342||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-06 11:30:11.1342||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-06 16:15:31.2595||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-06 16:15:34.2721|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-06 16:15:35.8435||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-06 16:15:35.8458||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-06 16:15:35.8746||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-11-06 16:21:56.1806||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-06 16:21:58.3929|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-06 16:21:59.4812||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
