2021-10-13 07:55:33.9716||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-13 07:55:36.6484|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-13 07:55:37.7847||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-13 07:55:37.7931||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-13 07:55:37.8048||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-13 07:56:03.8770||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-13 07:56:05.7892|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-13 07:56:06.8979||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-13 07:56:06.9024||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-13 07:56:06.9024||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-13 07:57:01.5828||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-13 07:57:03.5638|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-13 07:57:04.5530||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-13 07:57:04.5570||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-13 07:57:04.5570||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-13 07:59:00.5824||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-13 07:59:02.5953|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-13 07:59:03.5915||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-13 07:59:03.5915||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-13 07:59:03.6123||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-13 08:00:21.8361||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
