2021-10-15 01:02:25.5082||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-15 01:02:29.2242|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-15 01:02:30.1268||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-15 01:02:30.1323||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-15 01:02:30.1323||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-15 01:44:43.7886||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-15 01:44:47.0039|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-15 01:44:47.8571||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-15 01:44:47.8571||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-15 01:44:47.8571||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-15 01:46:28.8217||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-15 01:46:31.3927|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-15 01:46:32.1166||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-15 01:46:32.1212||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-15 01:46:32.1212||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-15 01:48:39.4424||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-15 01:48:42.1916|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-15 01:48:43.0072||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-15 01:48:43.0080||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-15 01:48:43.0080||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-15 01:49:12.1438||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-15 01:49:14.6570|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-15 01:49:15.4122||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-15 01:49:15.4178||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
