2021-10-14 16:31:23.4016||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 16:31:27.1473|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 16:31:28.5156||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 16:31:28.5156||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 16:31:28.5156||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 17:04:37.0838||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:04:40.6324|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 17:04:41.7160||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 17:04:41.7326||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 17:04:41.7326||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 17:12:08.7919||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:12:12.3490|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 17:12:13.6643||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 17:12:13.6643||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 17:12:13.6643||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 17:20:15.4381||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:22:59.3817||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:24:02.4692||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:25:27.3377||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:27:44.6032||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:39:34.7740||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 17:40:59.5183||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 18:59:32.0608||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:00:43.3814||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:02:02.6588||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:02:06.5270|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 19:02:07.9597||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 19:02:07.9626||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 19:02:08.0330||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 19:06:06.4668||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:06:09.3717|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 19:06:10.1804||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 19:06:10.1804||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 19:06:10.1804||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 19:52:01.8609||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:52:04.7668|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 19:52:05.4925||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 19:52:05.4925||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 19:52:05.4925||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 19:53:03.2482||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:53:05.7389|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 19:53:06.3577||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 19:53:06.3681||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 19:53:06.3681||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 19:54:03.2531||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:54:05.6323|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 19:54:06.2870||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 19:54:06.2912||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 19:54:06.3042||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 19:54:36.4054||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 19:54:38.8763|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-14 19:54:39.4919||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-14 19:54:39.4919||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-14 19:54:39.4919||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-14 21:51:22.6100||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-14 21:51:27.1535|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
