2021-10-10 16:13:14.4681||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-10 16:16:57.3515||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-10 16:17:00.8106|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-10 16:17:02.2813||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-10 16:17:02.2813||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-10 16:17:02.2930||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-10 16:48:51.2192||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-10 16:48:54.2343|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-10 16:48:55.2974||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-10 16:48:55.2974||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-10 16:48:55.3134||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-10 16:52:13.1712||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-10 16:52:15.2261|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-10 16:52:16.0292||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-10 16:52:16.0292||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-10 16:52:16.0431||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-10 16:52:54.2775||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-10 16:52:56.3752|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-10 16:52:57.2961||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-10 16:52:57.2961||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-10 16:52:57.3062||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
